"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","model","Marginal_R2","Conditional_R2"
"fixed",NA,"(Intercept)",0.783191,0.198453,3.946481,1540.8912,7.93082e-05,0.394223,1.172159,"Shannon ESV",0.010163,NA
"fixed",NA,"SexMale",2.229976,0.236665,9.4225,369.9012,4.40473e-21,1.766113,2.693839,"Shannon ESV",0.010163,NA
"fixed",NA,"SeasonSummer",0.511436,0.081196,6.298783,2919.969,2.99992e-10,0.352292,0.67058,"Shannon ESV",0.010163,NA
"fixed",NA,"SexMale:SeasonSummer",1.217624,0.076325,15.953148,3528.5351,2.70891e-57,1.068027,1.367221,"Shannon ESV",0.010163,NA
"ran_pars","Plotname","sd__(Intercept)",1.063457,NA,NA,NA,NA,NA,NA,"Shannon ESV",0.010163,NA
"ran_pars","Residual","sd__Observation",0.98576,NA,NA,NA,NA,NA,NA,"Shannon ESV",0.010163,NA
"fixed",NA,"(Intercept)",2.468211,0.09167,26.924959,2691.2013,1.12087e-159,2.288538,2.647884,"Shannon Genus",0.036307,0.141232
"fixed",NA,"SexMale",-0.966544,0.281546,-3.432988,3626.9222,0.000596969,-1.518374,-0.414714,"Shannon Genus",0.036307,0.141232
"fixed",NA,"SeasonSummer",0.570738,0.094356,6.048773,1885.4862,1.45953e-09,0.3858,0.755676,"Shannon Genus",0.036307,0.141232
"fixed",NA,"SexMale:SeasonSummer",2.010091,0.123969,16.214465,3261.0764,3.98533e-59,1.767112,2.25307,"Shannon Genus",0.036307,0.141232
"ran_pars","Plotname","sd__(Intercept)",0.767239,NA,NA,NA,NA,NA,NA,"Shannon Genus",0.036307,0.141232
"ran_pars","Residual","sd__Observation",1.025945,NA,NA,NA,NA,NA,NA,"Shannon Genus",0.036307,0.141232
"fixed",NA,"(Intercept)",2.291834,0.224031,10.229986,2595.3598,1.4554e-24,1.852733,2.730935,"Beta Total",0.031063,0.448179
"fixed",NA,"physical_distance",1.137869,0.297041,3.83068,413.7256,0.00012779,0.555669,1.720069,"Beta Total",0.031063,0.448179
"ran_pars","Sample_Id1","sd__(Intercept)",0.57338,NA,NA,NA,NA,NA,NA,"Beta Total",0.031063,0.448179
"ran_pars","Sample_Id2","sd__(Intercept)",1.042941,NA,NA,NA,NA,NA,NA,"Beta Total",0.031063,0.448179
"ran_pars","Residual","sd__Observation",0.057491,NA,NA,NA,NA,NA,NA,"Beta Total",0.031063,0.448179
"fixed",NA,"(Intercept)",0.104265,0.031838,3.27486,3194.2451,0.00105714,0.041863,0.166667,"Beta Replacement",0.038517,0.088988
"fixed",NA,"physical_distance",0.768781,0.030058,25.576585,1029.3765,2.77989e-144,0.709867,0.827695,"Beta Replacement",0.038517,0.088988
"ran_pars","Sample_Id1","sd__(Intercept)",0.117594,NA,NA,NA,NA,NA,NA,"Beta Replacement",0.038517,0.088988
"ran_pars","Sample_Id2","sd__(Intercept)",0.483476,NA,NA,NA,NA,NA,NA,"Beta Replacement",0.038517,0.088988
"ran_pars","Residual","sd__Observation",0.241667,NA,NA,NA,NA,NA,NA,"Beta Replacement",0.038517,0.088988
"fixed",NA,"(Intercept)",-0.264826,0.126326,-2.09637,2881.7983,0.0360494,-0.512425,-0.017227,"Beta Richness",0.017149,0.414696
"fixed",NA,"physical_distance",-0.745656,0.283852,-2.626918,215.1047,0.00861621,-1.302006,-0.189306,"Beta Richness",0.017149,0.414696
"ran_pars","Sample_Id1","sd__(Intercept)",0.535079,NA,NA,NA,NA,NA,NA,"Beta Richness",0.017149,0.414696
"ran_pars","Sample_Id2","sd__(Intercept)",1.025685,NA,NA,NA,NA,NA,NA,"Beta Richness",0.017149,0.414696
"ran_pars","Residual","sd__Observation",0.47141,NA,NA,NA,NA,NA,NA,"Beta Richness",0.017149,0.414696
